design,arm,block,seed,job,engine,covariance,lambda,population,restarts_planned,budget,score,scored_evaluations,final_score,evaluations,iterations,restarts,stop_reason,converged,elapsed_s,pinned,dimension,matched,partial_cents,partial_level_db,partial_decay_octaves,partial_missing,partial_extra,spectral_fine_db,spectral_coarse_db,envelope_db,onset_db,decay_slope_dbps,waveform,mayfly_version,cmaes_version,revision
engine-shape,mayfly-single,0,121000,b00-mayfly-single,mayfly,,,10,1,24000,0.28830937751971969,23961,0.28830937751971969,24003,571,0,max_evaluations,false,134.73701246799999,8,30,4,0.074817003392218917,0.84106476999152169,6.3059552063138104e-05,0.56132079637666832,0,9.6369362620354408,10.926498807507686,1.3306396728133882,13.707997774598285,7.4041117752443597e-06,0.46213555987874599,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-r16,0,121000,b00-mayfly-r16,mayfly,,,10,16,24000,0.31193089433293547,1533,0.31193089433293547,24009,564,0,max_evaluations,false,149.91509415600001,8,30,5,0.28596546020870756,4.3052206124179317,0.00087067778175109847,0.44329200104658129,0,9.8308729659976901,11.220964144079195,1.2280482135962685,13.225917674194569,0.047707757672116102,0.57692841458619726,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-r,0,121000,b00-sep-cmaes-r,cmaes,separable,14,,0,24000,0.31443613446607771,4775,0.31443613446607771,24000,1715,5,max_evaluations,false,169.42042442499999,0,30,1,0.049803774181400237,0,0.0017664210642581724,0.83966129605197193,0.18179774408567351,12.934438211951315,15.704909024741387,0.73968547894595293,18.043414251567476,0.00057111019926558981,0.71298696174907528,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,blk-cmaes-r,0,121000,b00-blk-cmaes-r,cmaes,block,14,,0,24000,0.33377286093460001,23961,0.33377286093460001,24000,1715,5,max_evaluations,false,165.483968146,0,30,1,0.22723326500124688,0,0.020457908438717285,0.83966129605197193,0.31410847596516078,13.25858398140848,16.072614023751878,0.75085748968742683,24.656851264047294,0.079401762678157795,0.73748860058945609,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-ipop,0,121000,b00-sep-cmaes-ipop,cmaes,separable,14,,0,24000,0.2973572462119734,23983,0.2973572462119734,24000,1714,1,max_evaluations,false,182.44106338899999,0,30,1,0.00083974649434104265,0,0.00052605092839317453,0.83966129605197193,0.16703588041205034,12.054581825630859,14.69898432825827,0.55999929027866724,16.158200239762486,0.0035349362591929889,0.60094441044297708,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-single,1,121001,b01-mayfly-single,mayfly,,,10,1,24000,0.29971421844494039,23961,0.29971421844494039,24003,571,0,max_evaluations,false,120.543770063,4,30,1,0.0014501617389583998,0,1.5600907782298279e-05,0.83966129605197193,0.14507529800105873,12.566429778201885,14.983777122108229,0.56999003713051632,14.344243518779134,0.00031699403199070275,0.7161632870710628,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-r16,1,121001,b01-mayfly-r16,mayfly,,,10,16,24000,0.30750453093636049,1323,0.30750453093636049,24009,564,0,max_evaluations,false,123.246342117,8,30,5,0.21720499021670792,4.2779333123541656,0.00057626491392458233,0.38747971850005536,0,9.2170331920186293,10.443924774018948,0.96931853933201717,12.516714262882736,0.98055182119340856,0.62432768458204779,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-r,1,121001,b01-sep-cmaes-r,cmaes,separable,14,,0,24000,0.30711227574314676,14235,0.30711227574314676,24000,1715,5,max_evaluations,false,119.19958499800001,0,30,1,0.0083801894868296457,0,0.0036517159103012478,0.83966129605197193,0.17926224191011392,12.770042478928001,15.468895871331725,0.62786847238786947,15.797814994809652,0.027404765614551962,0.71255329161088732,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,blk-cmaes-r,1,121001,b01-blk-cmaes-r,cmaes,block,14,,0,24000,0.32155456833789559,9127,0.32155456833789559,24000,1715,5,max_evaluations,false,116.509254149,0,30,1,0.020561613237791206,0,2.6719017107987613e-05,0.83966129605197193,0,12.516750795215154,15.036783424285996,1.033120231452636,21.086358645879514,0.94948156011987273,0.66194382766522564,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,sep-cmaes-ipop,1,121001,b01-sep-cmaes-ipop,cmaes,separable,14,,0,24000,0.30524591918289223,21813,0.30524591918289223,24000,1642,2,max_evaluations,false,103.184104327,1,30,1,0.00011340363594847247,0,4.5894064171214666e-07,0.99216292501409364,0.013130072828330187,16.838125638463119,20.540526676203765,0.48571273852059699,8.7819007431148091,6.8798638768186038e-05,0.99986612733683777,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
engine-shape,mayfly-single,2,121002,b02-mayfly-single,mayfly,,,10,1,24000,0.27996204219830934,23919,0.27996204219830934,24003,571,0,max_evaluations,false,141.8150952,7,30,4,0.15415774734185772,1.4112628478750231,0.0061781840499441111,0.45112907603248775,0,8.7954889339101978,9.7552751736238825,1.0015795260016365,11.944475908933539,0.20904019816529029,0.52342311660633412,v0.7.1,v0.1.0,9704ed4d6f1a2a3960bf398df7191ba1958820cb
