design,arm,block,seed,budget,score,decay_keytrack,version,output_gain_db,evaluations,iterations,restarts,stop_reason,converged,elapsed_s,pinned,dimension,matched,workers,mayfly_version,cmaes_version,revision
beta-ablation,fixed,0,140000,6000,0.43827626160729044,,3.0,20.522707160831679,6033,136,0,max_evaluations,false,977.42212696599995,0,15,0,12,v0.7.1,v0.1.0,aca33e9e24a5a94e57308e6cb3b0441cfe0da1e1
beta-ablation,beta,0,140000,6000,0.43811998503153521,0.97426559957401748,4.0,18.151891294786456,6033,136,0,max_evaluations,false,716.54925108800001,3,16,0,12,v0.7.1,v0.1.0,aca33e9e24a5a94e57308e6cb3b0441cfe0da1e1
beta-ablation,fixed,1,140001,6000,0.43428069031762206,,3.0,13.782024920289228,6033,136,0,max_evaluations,false,929.43210305499997,1,15,0,12,v0.7.1,v0.1.0,aca33e9e24a5a94e57308e6cb3b0441cfe0da1e1
beta-ablation,beta,1,140001,6000,0.4383154983595815,1.0566835489857027,4.0,17.43119492175299,6033,136,0,max_evaluations,false,995.94071733600003,3,16,0,12,v0.7.1,v0.1.0,aca33e9e24a5a94e57308e6cb3b0441cfe0da1e1
beta-ablation,fixed,2,140002,6000,0.44268172355660723,,3.0,19.046037439080195,6033,136,0,max_evaluations,false,6103.7481592450004,0,15,0,12,v0.7.1,v0.1.0,aca33e9e24a5a94e57308e6cb3b0441cfe0da1e1
beta-ablation,beta,2,140002,6000,0.44048022438877393,0.9942361786026368,4.0,17.815035116157024,6033,136,0,max_evaluations,false,965.48224632599999,3,16,0,12,v0.7.1,v0.1.0,aca33e9e24a5a94e57308e6cb3b0441cfe0da1e1
beta-ablation,fixed,3,140003,6000,0.43901838194016446,,3.0,21.681410589797792,6033,136,0,max_evaluations,false,923.84783433099994,1,15,0,12,v0.7.1,v0.1.0,aca33e9e24a5a94e57308e6cb3b0441cfe0da1e1
beta-ablation,beta,3,140003,6000,0.4352916062601403,0.97285077914157414,4.0,16.629510886721576,6033,136,0,max_evaluations,false,979.28625941999996,1,16,0,12,v0.7.1,v0.1.0,aca33e9e24a5a94e57308e6cb3b0441cfe0da1e1
beta-ablation,fixed,4,140004,6000,0.42897067511372527,,3.0,8.7373144431550855,6033,136,0,max_evaluations,false,998.91210154999999,1,15,0,12,v0.7.1,v0.1.0,aca33e9e24a5a94e57308e6cb3b0441cfe0da1e1
beta-ablation,beta,4,140004,6000,0.44449429462302648,1.0270566040408018,4.0,15.01077232557925,6033,136,0,max_evaluations,false,940.27340734500001,0,16,0,12,v0.7.1,v0.1.0,aca33e9e24a5a94e57308e6cb3b0441cfe0da1e1
