design,arm,block,seed,budget,score,decay_keytrack,version,output_gain_db,evaluations,iterations,restarts,stop_reason,converged,elapsed_s,pinned,dimension,matched,workers,mayfly_version,cmaes_version,revision
beta-ablation-widened,beta,0,190000,6000,0.37966270627004406,-0.94579579694874627,4.0,22.851039655071002,6033,136,0,max_evaluations,false,431.67020227199998,1,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,0,190000,6000,0.43353266229258547,,3.0,12.228668794607543,6033,136,0,max_evaluations,false,430.08363333599999,0,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
beta-ablation-widened,beta,1,190001,6000,0.38022284327237127,-0.8918002453740167,4.0,-1.1092078945300821,6033,136,0,max_evaluations,false,416.24290685099999,2,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,1,190001,6000,0.43081312674339833,,3.0,6.1687992059205854,6033,136,0,max_evaluations,false,421.931088907,0,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
beta-ablation-widened,beta,2,190002,6000,0.38352768993335712,-0.98493398917349251,4.0,13.262970915998011,6033,136,0,max_evaluations,false,413.761848042,2,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,2,190002,6000,0.42934718563198737,,3.0,29.358566299858282,6033,136,0,max_evaluations,false,425.37873900099999,0,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
beta-ablation-widened,beta,3,190003,6000,0.38206334541531278,-0.98072422226685996,4.0,11.05944270228559,6033,136,0,max_evaluations,false,416.39619270999998,0,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,3,190003,6000,0.42712072897655634,,3.0,8.0617202122860352,6033,136,0,max_evaluations,false,426.25101558799997,1,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
beta-ablation-widened,beta,4,190004,6000,0.38284781991114669,-0.9391203193613411,4.0,14.310416352637706,6033,136,0,max_evaluations,false,413.47960436199998,1,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,4,190004,6000,0.43228620973115633,,3.0,7.3238087149960229,6033,136,0,max_evaluations,false,421.12324149,0,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
beta-ablation-widened,beta,5,190005,6000,0.38483139598707466,-0.81019808800059345,4.0,3.1362698475461794,6033,136,0,max_evaluations,false,413.75705196799998,1,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,5,190005,6000,0.43150853588617194,,3.0,-4.4507281943945163,6033,136,0,max_evaluations,false,432.13148422099999,0,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
beta-ablation-widened,beta,6,190006,6000,0.38242624708570544,-0.82731235521512336,4.0,-8.2118711266531612,6033,136,0,max_evaluations,false,413.65409460400002,1,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,6,190006,6000,0.43147373410063405,,3.0,22.501373184515611,6033,136,0,max_evaluations,false,424.923501257,0,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
beta-ablation-widened,beta,7,190007,6000,0.38373574282699646,-0.93418038108687229,4.0,3.8292286904609103,6033,136,0,max_evaluations,false,418.60929615800001,3,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,7,190007,6000,0.42684424760719075,,3.0,-12.49452640758707,6033,136,0,max_evaluations,false,447.27628556799999,0,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
beta-ablation-widened,beta,8,190008,6000,0.38391995227638109,-1.027785814866518,4.0,-25.559440380807864,6033,136,0,max_evaluations,false,418.42203540000003,0,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,8,190008,6000,0.42874829565053763,,3.0,6.5222510141890826,6033,136,0,max_evaluations,false,565.86355777300003,1,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
beta-ablation-widened,beta,9,190009,6000,0.3844840789169639,-0.90458736737645029,4.0,-4.0826323191278391,6033,136,0,max_evaluations,false,637.36451603900002,2,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,9,190009,6000,0.42929778320710565,,3.0,12.951569407311263,6033,136,0,max_evaluations,false,427.53667516399997,3,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
beta-ablation-widened,beta,10,190010,6000,0.38224105724040885,-0.84468731148130716,4.0,-11.063690409773432,6033,136,0,max_evaluations,false,527.16436999300004,0,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,10,190010,6000,0.43029898476805317,,3.0,-1.3506494087694805,6033,136,0,max_evaluations,false,642.28042139700005,0,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
beta-ablation-widened,beta,11,190011,6000,0.3808586847548836,-1.0213185832744791,4.0,20.983652103785698,6033,136,0,max_evaluations,false,478.02951759199999,0,16,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation-widened,fixed,11,190011,6000,0.43719416477227924,,3.0,19.783387617411478,6033,136,0,max_evaluations,false,414.17298241200001,0,15,0,12,v0.7.1,v0.1.0,dbcd30bf8cfcf056b2a3253b455a9bb8b5c0bcab
