preset,authored_note,mean,n60,n62,n64,n65,n67,n69,n71,n72,n74,n76,n77,n79,n81
060,60,0.4622264552271369,0.25821961137953481,0.49905764745879511,0.59008326237848607,0.57612222539495483,0.43286752300967657,0.47601185325493472,0.33653574137253595,0.50176329205956216,0.46262217645699344,0.48022096275684717,0.44817376701593958,0.45942565712906402,0.48784019828545477
062,62,0.4510168864613226,0.47907800214868129,0.2702218870013226,0.56317946597132573,0.54430779887486158,0.36342325327069364,0.43254034489585924,0.422319711002558,0.37964089803891782,0.46534616634079873,0.51168004102134834,0.46991251901160891,0.47659520679784279,0.48497422962137576
064,64,0.524400947550546,0.58444779097990962,0.54472401665010883,0.24857280800417311,0.4353853438557897,0.52848197110515593,0.49407258358714295,0.55749785913321737,0.50156017102072992,0.56360490756669357,0.60258322057328995,0.57873363297281954,0.58697537559820334,0.59057263710986307
065,65,0.51227506650730481,0.55394914540945017,0.49356370973649538,0.40937751730888716,0.28320329398171001,0.48402030464765788,0.42561814845557699,0.54772764412605812,0.49050666507187363,0.5889836093021158,0.60768285958674351,0.58467614832875514,0.59131266329282062,0.59895415534681817
067,67,0.45496549617904497,0.50569951164951055,0.3723959308663129,0.5221449479412571,0.50462879303398378,0.22725289582593056,0.38814371709514445,0.46482423515933641,0.43192405925289545,0.50284613192451288,0.50768616467810523,0.48129646774190793,0.49063113586748486,0.5150774592912023
069,69,0.48267803960697758,0.53275803339929662,0.47697548220494596,0.46743505681171738,0.44360368587736038,0.43478061042981575,0.25645573141881789,0.48336940300447345,0.45173137838685312,0.54337491865518173,0.59702006944724617,0.51557138899660393,0.5281838540235253,0.54355490223487091
071,71,0.46972406058727589,0.3954206249754475,0.46723305569212226,0.57312134555173266,0.57731720937887065,0.4980464178192629,0.49384917074094609,0.21796917521016487,0.46056195554724405,0.43584938087654373,0.55286185758243922,0.47255543356052471,0.49439924518936579,0.4672279155099221
072,72,0.49109941443982846,0.51579307271324615,0.45634508544612817,0.51147034462106844,0.51625043876432841,0.43408707028291116,0.44442396156978908,0.45601491770058483,0.2198889357029776,0.54139266306754996,0.5879868145121051,0.56149821704577696,0.57366257409914323,0.56547829219216084
074,74,0.4483431807872964,0.48729372808348331,0.48910424301440319,0.57354289649781331,0.58527755377995616,0.53260742828355201,0.55235669771993245,0.43030521876264938,0.5423374184155938,0.2131819260635644,0.39951068404356949,0.30805559011718781,0.36454167243390617,0.35034629301924197
076,76,0.45607177584849978,0.49311753650035589,0.52200914551109145,0.60225839375444945,0.60709478412288997,0.58896309875797659,0.60529505364347047,0.54722845048713609,0.58802790341014621,0.41986864912053701,0.18988887907501081,0.2880650078959347,0.22125464750746943,0.25586153624402935
077,77,0.43364871907086511,0.47364355691957921,0.49063316600233448,0.59941487641018498,0.60554133499158391,0.50031115036279916,0.5265634275125578,0.4808816383085604,0.57151196045540176,0.32258063185892316,0.32385994506206534,0.17168159124225066,0.24929693990264332,0.32151312889236294
079,79,0.43107787125622621,0.48190305743949108,0.50092326273303833,0.60237778933339359,0.60872578226971208,0.50580036566033593,0.52916124413987586,0.49650112829950049,0.57868689501463699,0.37657552539529593,0.25362694528370272,0.26758518860207714,0.17456723969140983,0.22757790246847015
081,81,0.4378809427387409,0.49605198708441184,0.49823670777865064,0.60419811254555067,0.61112529456121834,0.52442252150623025,0.54460726692490791,0.47962703469887724,0.58271893150170528,0.35085542652198926,0.28475999959530646,0.31871224840748369,0.23200447547579914,0.16513224900150106
jamieblam-joint,71,0.37371020574495845,0.51927642285085429,0.45759699761186079,0.45118685532098046,0.4252804699236063,0.31438795186054791,0.43896559927503753,0.31319806994282529,0.51784069645294606,0.35647469927377934,0.34853302163595201,0.1786123990132962,0.19036174649538384,0.34651774502738858
