design,arm,block,seed,budget,score,decay_keytrack,version,output_gain_db,evaluations,iterations,restarts,stop_reason,converged,elapsed_s,pinned,dimension,matched,workers,mayfly_version,cmaes_version,revision
beta-ablation,beta,0,220000,6000,0.47059036678269411,-0.44674498019033226,4.0,-4.7567388507646049,6033,136,0,max_evaluations,false,229.38988766400001,0,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,0,220000,6000,0.48331737834908556,,3.0,36.429525332148486,6033,136,0,max_evaluations,false,227.876781591,0,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,beta,1,220001,6000,0.4743718848927056,0.48397597086182209,4.0,-18.48207247631445,6033,136,0,max_evaluations,false,227.28763361599999,0,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,1,220001,6000,0.48120746341800252,,3.0,21.790954472263596,6033,136,0,max_evaluations,false,230.26904808500001,0,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,beta,2,220002,6000,0.47627210352718458,0.56730779764683481,4.0,9.6706256426618484,6033,136,0,max_evaluations,false,234.127760322,1,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,2,220002,6000,0.48007099149199206,,3.0,9.2934625554777313,6033,136,0,max_evaluations,false,227.359437028,3,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,beta,3,220003,6000,0.480054175544815,-0.60645946694896735,4.0,-14.448296576676336,6033,136,0,max_evaluations,false,222.73539758199999,0,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,3,220003,6000,0.48562324565042658,,3.0,28.915202962693602,6033,136,0,max_evaluations,false,231.14283852200001,0,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,beta,4,220004,6000,0.47897509146821932,-0.083124383323481932,4.0,-1.6722300153597027,6033,136,0,max_evaluations,false,219.90917394600001,0,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,4,220004,6000,0.48193460503897279,,3.0,-22.053936406259407,6033,136,0,max_evaluations,false,219.483214989,0,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,beta,5,220005,6000,0.46647540157879591,-0.16484209486534385,4.0,40.378813829647356,6033,136,0,max_evaluations,false,221.98189023899999,1,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,5,220005,6000,0.47845200486409684,,3.0,-6.6980267185497109,6033,136,0,max_evaluations,false,218.00835532100001,1,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,beta,6,220006,6000,0.47397167015925024,0.45818760650214352,4.0,-0.73923704697989479,6033,136,0,max_evaluations,false,217.26785744700001,3,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,6,220006,6000,0.48154199998438657,,3.0,-17.896969174213691,6033,136,0,max_evaluations,false,218.27542489199999,0,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,beta,7,220007,6000,0.46733668064438216,-0.62660898974906332,4.0,20.159797466785584,6033,136,0,max_evaluations,false,219.50150387100001,0,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,7,220007,6000,0.46963092985527971,,3.0,10.146560106680409,6033,136,0,max_evaluations,false,218.58684631099999,0,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,beta,8,220008,6000,0.47759196811333959,0.25151038050880703,4.0,52.385710866455788,6033,136,0,max_evaluations,false,219.48955168200001,1,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,8,220008,6000,0.4870654146672424,,3.0,-7.3969653731770775,6033,136,0,max_evaluations,false,220.237702668,0,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,beta,9,220009,6000,0.47456943748934793,-0.19027641384441063,4.0,34.56746192084259,6033,136,0,max_evaluations,false,218.85593469,0,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,9,220009,6000,0.47531627734036791,,3.0,19.031904084596615,6033,136,0,max_evaluations,false,219.91908394199999,0,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,beta,10,220010,6000,0.47134071834462693,0.18779315778404304,4.0,37.929119162495198,6033,136,0,max_evaluations,false,219.82012586900001,0,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,10,220010,6000,0.48054518542904007,,3.0,19.311474993089369,6033,136,0,max_evaluations,false,219.36563157500001,2,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,beta,11,220011,6000,0.47574831219180697,0.24117157770679576,4.0,8.4713099792571072,6033,136,0,max_evaluations,false,232.11885746199999,1,19,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
beta-ablation,fixed,11,220011,6000,0.48177268605677792,,3.0,13.999036111026154,6033,136,0,max_evaluations,false,220.87838546399999,1,18,0,12,v0.7.1,v0.1.0,60fadf17ce7a446b1fc7ea60190943529b23f5d1+dirty
