design,arm,block,seed,job,engine,covariance,lambda,population,restarts_planned,budget,score,scored_evaluations,final_score,evaluations,iterations,restarts,stop_reason,converged,elapsed_s,pinned,dimension,matched,partial_cents,partial_level_db,partial_decay_octaves,partial_missing,partial_extra,spectral_fine_db,spectral_coarse_db,envelope_db,onset_db,decay_slope_dbps,waveform,mayfly_version,cmaes_version,revision
rounds-48k,mayfly-single,0,125000,b00-mayfly-single,mayfly,,,10,1,48000,0.2815233759076235,47943,0.2815233759076235,48027,1143,0,max_evaluations,false,142.54131868499999,8,30,6,0.053968665958748142,4.8098695239776612,0.00077992965372077267,0.27646597366737025,0,8.7911596278082147,9.6201091529509171,1.1721006395905975,12.286617257690876,0.0060504061856647695,0.35197204098503287,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,0,125000,b00-mayfly-r16,mayfly,,,10,16,48000,0.30397363514822767,3003,0.30397363514822767,48033,1136,0,max_evaluations,false,168.469690528,5,30,5,0.080144436445372877,4.1647615826016366,0.0092337947592586178,0.44329200104658129,0,9.2535490725906584,10.393857896167535,1.2984208828512895,13.329308198036429,0.01802378577978736,0.49089171201823456,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-single,1,125001,b01-mayfly-single,mayfly,,,10,1,48000,0.29594397452813959,47985,0.2959439654704108,48027,1143,0,max_evaluations,false,168.943699415,5,30,3,0.16044179977642578,2.8967150079897577,5.2689601346988482e-06,0.56915787136257467,0,9.1999040753020171,10.45250222373347,1.0098183120572342,12.403291086874862,5.0715207196461165e-05,0.55369640404711473,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,1,125001,b01-mayfly-r16,mayfly,,,10,16,48000,0.30289684901772773,11883,0.30289684901772773,48033,1136,0,max_evaluations,false,153.68793869300001,2,30,1,0.00063220784141115871,0,0.011312486641953168,0.83966129605197193,0.17731583856369779,13.154722544825059,16.142560744479439,0.64004021889473139,11.606059091867014,0.018738732988055062,0.72367138184964286,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-single,2,125002,b02-mayfly-single,mayfly,,,10,1,48000,0.2970851625554996,47985,0.29708516255402601,48027,1143,0,max_evaluations,false,140.20521036299999,8,30,6,0.066735320119638536,5.0741699060449958,0.00015662838590397278,0.27646597366737025,0,9.0761559640535925,10.114239763660803,1.3447728649060684,13.494120236184147,2.4710252011672651e-05,0.45516808269919296,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,2,125002,b02-mayfly-r16,mayfly,,,10,16,48000,0.30395866187870113,21015,0.30395866187870113,48033,1136,0,max_evaluations,false,126.44812607900001,1,30,1,0.032809171382508495,0,0.0012745963646333403,0.83966129605197193,0.16727430969956303,13.539212161442441,16.441891534088676,0.6167766697649385,12.402461379872792,0.062125471245016328,0.71937680942189897,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-single,3,125003,b03-mayfly-single,mayfly,,,10,1,48000,0.28099986555070205,47985,0.28099986555065065,48027,1143,0,max_evaluations,false,133.79011591099999,8,30,5,0.076743083344015445,2.8867103545197685,0.00091414595184494737,0.44329200104658129,0,8.8685206771515315,9.7149512727783538,1.1331270700385312,12.239792392831925,3.5896372626353923e-05,0.37136203864059669,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,3,125003,b03-mayfly-r16,mayfly,,,10,16,48000,0.298388913486961,2961,0.298388913486961,48033,1136,0,max_evaluations,false,131.11862844000001,7,30,6,0.074286542290849134,5.0680388628558415,0.0062329928283287707,0.27646597366737025,0,9.1406464351469126,10.20836866396926,1.3471586911413977,13.450896255788622,0.00011871399405904981,0.45487170511267916,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-single,4,125004,b04-mayfly-single,mayfly,,,10,1,48000,0.25076062466091986,47985,0.25076062466091986,48027,1143,0,max_evaluations,false,133.10626432199999,5,30,6,0.16905499047720851,0.0011837438264065401,0.00083463070419233286,0.27646597366737025,0,9.0588695347451509,10.21539024624791,0.6575719875715974,11.469564394255013,0.128839391830045,0.53562833885760297,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
rounds-48k,mayfly-r16,4,125004,b04-mayfly-r16,mayfly,,,10,16,48000,0.31913529240925859,47991,0.31913529240925859,48033,1136,0,max_evaluations,false,128.757938263,0,30,1,0.0031214800337853177,0,0.0014433050631503571,0.85276273711153883,0.14303425567186631,17.288383788740372,21.34720905881732,0.57746188335475301,11.109469126072081,0.0048561585526645246,0.99894267019708138,v0.7.1,v0.1.0,bfc780b798ee010238c69c58a57bd3f31065e843
